"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 22, 2018","58,396,000","56,700,000","58,612,000","55,864,000","0.24K","2.99%"
"Dec 21, 2018","56,700,000","58,904,000","59,650,000","55,701,000","0.51K","-3.74%"
"Dec 20, 2018","58,903,000","53,736,000","59,800,000","53,180,000","0.70K","9.62%"
"Dec 19, 2018","53,736,000","53,360,000","56,990,000","52,771,000","0.85K","0.70%"
"Dec 18, 2018","53,360,000","51,319,000","53,599,000","50,225,000","0.45K","3.98%"
"Dec 17, 2018","51,319,000","47,274,000","52,665,000","47,170,000","0.56K","8.56%"
"Dec 16, 2018","47,274,000","47,169,000","48,049,000","47,109,000","0.15K","0.22%"
"Dec 15, 2018","47,169,000","47,431,000","47,850,000","46,353,000","0.19K","-0.55%"
"Dec 14, 2018","47,431,000","48,196,000","48,870,000","46,563,000","0.40K","-1.59%"
"Dec 13, 2018","48,197,000","50,641,000","50,761,000","47,931,000","0.43K","-4.83%"
"Dec 12, 2018","50,641,000","50,010,000","51,249,000","49,737,000","0.32K","0.88%"
"Dec 11, 2018","50,200,000","50,481,000","51,009,000","49,406,000","0.31K","-0.56%"
"Dec 10, 2018","50,481,000","51,868,000","52,709,000","49,900,000","0.30K","-2.67%"
"Dec 09, 2018","51,868,000","50,087,000","53,499,000","49,835,000","0.27K","3.56%"
"Dec 08, 2018","50,086,000","50,009,000","51,453,000","48,111,000","0.30K","0.15%"
"Dec 07, 2018","50,009,000","51,245,000","51,824,000","47,931,000","0.53K","-2.41%"
"Dec 06, 2018","51,246,000","54,728,000","56,667,000","51,001,000","0.56K","-5.95%"
"Dec 05, 2018","54,489,000","57,070,000","57,500,000","54,205,000","0.52K","-4.52%"
"Dec 04, 2018","57,070,000","56,495,000","59,009,000","55,650,000","0.41K","1.02%"
"Dec 03, 2018","56,495,000","60,001,000","60,391,000","56,436,000","0.50K","-5.84%"
"Dec 02, 2018","60,001,000","60,510,000","61,749,000","59,396,000","0.21K","-0.84%"
"Dec 01, 2018","60,509,000","58,850,000","62,000,000","58,000,000","0.38K","2.82%"
"Nov 30, 2018","58,850,000","62,350,000","62,650,000","58,258,000","0.65K","-5.61%"
"Nov 29, 2018","62,350,000","61,348,000","63,432,000","59,222,000","0.50K","1.63%"
"Nov 28, 2018","61,348,000","56,465,000","63,185,000","56,465,000","0.62K","8.65%"
"Nov 27, 2018","56,465,000","56,067,000","57,199,000","54,008,000","0.60K","0.71%"
"Nov 26, 2018","56,067,000","58,393,000","59,643,000","52,987,000","0.47K","-3.98%"
"Nov 25, 2018","58,393,000","59,896,000","60,514,000","41,000,000","0.87K","-2.51%"
"Nov 24, 2018","59,897,000","63,589,000","64,233,000","58,750,000","0.30K","-5.53%"
"Nov 23, 2018","63,400,000","63,326,000","64,098,000","60,888,000","0.44K","0.11%"
"Nov 22, 2018","63,329,000","67,473,000","67,800,000","63,329,000","0.25K","-6.15%"
"Nov 21, 2018","67,476,000","63,598,000","67,990,000","62,000,000","0.44K","6.11%"
"Nov 20, 2018","63,590,000","71,500,000","73,193,000","58,030,000","0.70K","-11.07%"
"Nov 19, 2018","71,509,000","83,099,000","83,150,000","70,645,000","0.46K","-13.89%"
"Nov 18, 2018","83,046,000","82,597,000","83,688,000","82,597,000","0.14K","0.54%"
"Nov 17, 2018","82,597,000","83,494,000","83,545,000","82,260,000","0.12K","-1.07%"
"Nov 16, 2018","83,494,000","84,981,000","85,263,000","82,102,000","0.26K","-1.75%"
"Nov 15, 2018","84,981,000","85,886,000","89,999,000","79,505,000","0.39K","-1.05%"
"Nov 14, 2018","85,886,000","94,250,000","94,500,000","82,500,000","0.35K","-8.87%"
"Nov 13, 2018","94,250,000","94,764,000","94,789,000","94,122,000","0.12K","-0.54%"
"Nov 12, 2018","94,764,000","94,379,000","95,128,000","94,223,000","0.15K","0.41%"
"Nov 11, 2018","94,379,000","94,654,000","94,968,000","93,701,000","0.10K","-0.29%"
"Nov 10, 2018","94,654,000","94,308,000","95,100,000","94,300,000","0.11K","0.37%"
"Nov 09, 2018","94,308,000","95,002,000","95,615,000","94,150,000","0.15K","-0.73%"
"Nov 08, 2018","95,000,000","95,949,000","96,457,000","94,528,000","0.18K","-0.99%"
"Nov 07, 2018","95,949,000","95,795,000","96,861,000","95,496,000","0.21K","0.16%"
"Nov 06, 2018","95,795,000","96,001,000","96,254,000","95,302,000","0.16K","-0.21%"
"Nov 05, 2018","96,001,000","96,657,000","96,989,000","95,840,000","0.18K","-0.56%"
"Nov 04, 2018","96,538,000","95,850,000","97,125,000","95,655,000","0.14K","0.72%"
"Nov 03, 2018","95,852,000","96,148,000","96,314,000","95,695,000","0.09K","-0.31%"
